Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site,Review Rating,Review Text,Sentiment Score,Sentiment Label
1001,45,Female,City D,75000,"[{'Purchase Date': '2022-03-05', 'Product Category': 'Clothing', 'Price': 45.99}]",[{'Timestamp': '2022-03-06 14:30:00'}],"{'Review Text': 'Great quality clothes!', 'Rating': 5}",120.0,0.0,No Review,-0.296,Negative
1002,32,Male,City A,50000,"[{'Purchase Date': '2022-02-15', 'Product Category': 'Electronics', 'Price': 250}]",[{'Timestamp': '2022-05-12 16:15:00'}],"{'Review Text': 'Good product, but could be cheaper.', 'Rating': 3}",75.0,0.0,No Review,-0.296,Negative
1003,60,Other,City B,80000,"[{'Purchase Date': '2022-01-18', 'Product Category': 'Home & Garden', 'Price': 180}]",[{'Timestamp': '2022-06-03 10:45:00'}],"{'Review Text': 'Very satisfied with my purchase!', 'Rating': 5}",200.0,0.0,No Review,-0.296,Negative
1004,28,Female,City C,45000,"[{'Purchase Date': '2022-04-25', 'Product Category': 'Clothing', 'Price': 29.99}]",[{'Timestamp': '2022-07-08 13:00:00'}],"{'Review Text': 'Not what I expected.', 'Rating': 2}",150.0,0.0,No Review,-0.296,Negative
1005,55,Male,City E,90000,"[{'Purchase Date': '2022-05-20', 'Product Category': 'Electronics', 'Price': 600}]",[{'Timestamp': '2022-08-04 09:30:00'}],"{'Review Text': 'Excellent product, highly recommend!', 'Rating': 5}",300.0,0.0,No Review,-0.296,Negative
1006,38,Female,City F,65000,"[{'Purchase Date': '2022-06-15', 'Product Category': 'Home & Garden', 'Price': 220}]",[{'Timestamp': '2022-09-02 11:15:00'}],"{'Review Text': 'Awesome purchase!', 'Rating': 5}",250.0,0.0,No Review,-0.296,Negative
1007,42,Male,City G,70000,"[{'Purchase Date': '2022-07-22', 'Product Category': 'Clothing', 'Price': 39.99}]",[{'Timestamp': '2022-10-07 14:45:00'}],"{'Review Text': 'Good product, but not worth the price.', 'Rating': 3}",180.0,0.0,No Review,-0.296,Negative
1008,50,Female,City H,85000,"[{'Purchase Date': '2022-08-08', 'Product Category': 'Electronics', 'Price': 550}]",[{'Timestamp': '2022-11-02 10:30:00'}],"{'Review Text': 'Great product, highly recommend!', 'Rating': 5}",280.0,0.0,No Review,-0.296,Negative
1009,35,Male,City I,55000,"[{'Purchase Date': '2022-09-20', 'Product Category': 'Home & Garden', 'Price': 200}]",[{'Timestamp': '2022-12-06 12:00:00'}],"{'Review Text': 'Satisfied with my purchase!', 'Rating': 4}",220.0,0.0,No Review,-0.296,Negative
1010,48,Female,City J,75000,"[{'Purchase Date': '2022-10-15', 'Product Category': 'Clothing', 'Price': 34.99}]",[{'Timestamp': '2022-12-21 15:30:00'}],"{'Review Text': 'Excellent product, highly recommend!', 'Rating': 5}",200.0,0.0,No Review,-0.296,Negative
1011,30,Male,City K,40000,"[{'Purchase Date': '2022-11-05', 'Product Category': 'Electronics', 'Price': 150}]",[{'Timestamp': '2023-01-11 08:45:00'}],"{'Review Text': 'Good product, but could be better.', 'Rating': 3}",160.0,0.0,No Review,-0.296,Negative
1012,65,Female,City L,95000,"[{'Purchase Date': '2022-12-25', 'Product Category': 'Home & Garden', 'Price': 170}]",[{'Timestamp': '2023-02-06 13:15:00'}],"{'Review Text': 'Excellent product, highly recommend!', 'Rating': 5}",240.0,0.0,No Review,-0.296,Negative
1001,24,Female,City D,45000,"[{'Purchase Date': '2022-09-15', 'Product Category': 'Clothing', 'Price': 34.5}]","[{'Timestamp': '2022-08-20T14:30:00Z'}, {'Timestamp': '2022-08-22T16:45:00Z'}, {'Timestamp': '2022-09-03T10:20:00Z'}]",,120.5,0.0,No Review,-0.296,Negative
1001,35,Female,City D,50000,"[{'Purchase Date': '2022-05-15', 'Product Category': 'Clothing', 'Price': 120}]",[{'Timestamp': '2022-04-20T14:30:00Z'}],,120.0,0.0,No Review,-0.296,Negative
1002,45,Male,City E,80000,"[{'Purchase Date': '2022-06-12', 'Product Category': 'Electronics', 'Price': 350}]",[{'Timestamp': '2022-05-25T17:45:00Z'}],,300.0,0.0,No Review,-0.296,Negative
1003,28,Female,City F,60000,"[{'Purchase Date': '2022-05-28', 'Product Category': 'Clothing', 'Price': 75}]",[{'Timestamp': '2022-06-01T09:15:00Z'}],,250.0,0.0,No Review,-0.296,Negative
1004,52,Male,City G,70000,"[{'Purchase Date': '2022-05-08', 'Product Category': 'Electronics', 'Price': 200}]",[{'Timestamp': '2022-05-22T10:30:00Z'}],,350.0,0.0,No Review,-0.296,Negative
1005,31,Female,City H,45000,"[{'Purchase Date': '2022-05-18', 'Product Category': 'Clothing', 'Price': 50}]",[{'Timestamp': '2022-05-30T13:45:00Z'}],,200.0,0.0,No Review,-0.296,Negative
1006,48,Male,City I,90000,"[{'Purchase Date': '2022-05-23', 'Product Category': 'Electronics', 'Price': 400}]",[{'Timestamp': '2022-06-06T08:00:00Z'}],,400.0,0.0,No Review,-0.296,Negative
1007,60,Female,City J,65000,"[{'Purchase Date': '2022-05-25', 'Product Category': 'Clothing', 'Price': 100}]",[{'Timestamp': '2022-06-15T11:30:00Z'}],,300.0,0.0,No Review,-0.296,Negative
1008,55,Male,City K,85000,"[{'Purchase Date': '2022-05-20', 'Product Category': 'Electronics', 'Price': 300}]",[{'Timestamp': '2022-05-28T15:15:00Z'}],,450.0,0.0,No Review,-0.296,Negative
1009,29,Female,City L,40000,"[{'Purchase Date': '2022-05-16', 'Product Category': 'Clothing', 'Price': 60}]",[{'Timestamp': '2022-05-31T16:45:00Z'}],,250.0,0.0,No Review,-0.296,Negative
1010,58,Male,City M,75000,"[{'Purchase Date': '2022-05-12', 'Product Category': 'Electronics', 'Price': 250}]",[{'Timestamp': '2022-05-29T10:30:00Z'}],,350.0,0.0,No Review,-0.296,Negative
1011,36,Female,City N,55000,"[{'Purchase Date': '2022-05-27', 'Product Category': 'Clothing', 'Price': 80}]",[{'Timestamp': '2022-06-13T13:00:00Z'}],,200.0,0.0,No Review,-0.296,Negative
1012,42,Male,City O,95000,"[{'Purchase Date': '2022-05-22', 'Product Category': 'Electronics', 'Price': 350}]",[{'Timestamp': '2022-05-26T11:15:00Z'}],,300.0,0.0,No Review,-0.296,Negative
1013,50,Female,City P,68000,"[{'Purchase Date': '2022-05-19', 'Product Category': 'Clothing', 'Price': 120}]",[{'Timestamp': '2022-06-08T14:30:00Z'}],,250.0,0.0,No Review,-0.296,Negative
1001,32,Female,City D,65000,"[{'Product Category': 'Clothing', 'Purchase Date': '2022-08-15', 'Price': 45.23}, {'Product Category': 'Electronics', 'Purchase Date': '2022-07-20', 'Price': 250.34}]","[{'Product Category': 'Home & Garden', 'Timestamp': '2022-09-01T14:30:00Z'}, {'Product Category': 'Clothing', 'Timestamp': '2022-08-25T12:15:00Z'}]",,72.3,0.0,No Review,-0.296,Negative
1001,35,Female,City D,60000,"[{'Product Category': 'Electronics', 'Purchase Date': '2022-03-15', 'Price': 250.5}, {'Product Category': 'Clothing', 'Purchase Date': '2022-02-01', 'Price': 125.8}]","[{'Product Category': 'Home & Garden', 'Timestamp': '2022-04-03T15:30:00Z'}, {'Product Category': 'Electronics', 'Timestamp': '2022-03-28T08:45:00Z'}]",,123.6,0.0,No Review,-0.296,Negative
1002,42,Male,City E,75000,"[{'Product Category': 'Clothing', 'Purchase Date': '2022-02-20', 'Price': 150.2}, {'Product Category': 'Home & Garden', 'Purchase Date': '2022-01-12', 'Price': 450}]","[{'Product Category': 'Electronics', 'Timestamp': '2022-03-01T10:15:00Z'}, {'Product Category': 'Clothing', 'Timestamp': '2022-02-15T16:30:00Z'}]",,246.9,0.0,No Review,-0.296,Negative
1001,32,Female,City D,55000,"[{'Product Category': 'Electronics', 'Purchase Date': '2022-03-15', 'Price': 249.99}]","[{'Product Category': 'Home & Garden', 'Timestamp': '2022-02-20T12:34:56Z'}]",,75.2,0.0,No Review,-0.296,Negative
1001,28,Female,City D,65000,"[{'Product Category': 'Clothing', 'Purchase Date': '2022-06-12', 'Price': 45.99}, {'Product Category': 'Electronics', 'Purchase Date': '2022-05-08', 'Price': 199.99}]","[{'Product Category': 'Home & Garden', 'Timestamp': '2022-06-15T12:34:56Z'}, {'Product Category': 'Electronics', 'Timestamp': '2022-05-20T16:17:23Z'}]",,120.5,0.0,No Review,-0.296,Negative
1002,42,Male,City E,80000,"[{'Product Category': 'Electronics', 'Purchase Date': '2022-07-03', 'Price': 249.99}, {'Product Category': 'Home & Garden', 'Purchase Date': '2022-06-17', 'Price': 129.99}]","[{'Product Category': 'Clothing', 'Timestamp': '2022-07-10T09:15:32Z'}, {'Product Category': 'Electronics', 'Timestamp': '2022-06-25T14:46:01Z'}]",,250.0,0.0,No Review,-0.296,Negative
1003,35,Other,City F,50000,"[{'Product Category': 'Clothing', 'Purchase Date': '2022-06-22', 'Price': 34.99}, {'Product Category': 'Electronics', 'Purchase Date': '2022-05-15', 'Price': 149.99}]","[{'Product Category': 'Home & Garden', 'Timestamp': '2022-06-27T10:30:11Z'}, {'Product Category': 'Electronics', 'Timestamp': '2022-05-30T13:02:45Z'}]",,75.0,0.0,No Review,-0.296,Negative
1004,52,Female,City G,100000,"[{'Product Category': 'Clothing', 'Purchase Date': '2022-07-08', 'Price': 79.99}, {'Product Category': 'Home & Garden', 'Purchase Date': '2022-06-24', 'Price': 399.99}]","[{'Product Category': 'Electronics', 'Timestamp': '2022-07-12T11:45:06Z'}, {'Product Category': 'Clothing', 'Timestamp': '2022-06-30T16:23:30Z'}]",,300.0,0.0,No Review,-0.296,Negative
1005,24,Male,City H,45000,"[{'Product Category': 'Electronics', 'Purchase Date': '2022-06-01', 'Price': 129.99}, {'Product Category': 'Home & Garden', 'Purchase Date': '2022-05-18', 'Price': 59.99}]","[{'Product Category': 'Clothing', 'Timestamp': '2022-06-05T08:00:23Z'}, {'Product Category': 'Electronics', 'Timestamp': '2022-05-28T14:30:56Z'}]",,100.0,0.0,No Review,-0.296,Negative
1001,34,Female,City D,55000,"[{'Purchase Date': '2022-07-02', 'Product Category': 'Clothing', 'Price': 25.6}, {'Purchase Date': '2022-06-15', 'Product Category': 'Electronics', 'Price': 120}, {'Purchase Date': '2022-05-10', 'Product Category': 'Home & Garden', 'Price': 35}]","[{'Timestamp': '2022-08-14T09:30:00Z'}, {'Timestamp': '2022-07-25T14:15:00Z'}, {'Timestamp': '2022-06-01T10:45:00Z'}]",,120.0,0.0,No Review,-0.296,Negative
1002,45,Male,City E,87000,"[{'Purchase Date': '2022-07-08', 'Product Category': 'Electronics', 'Price': 420}, {'Purchase Date': '2022-06-23', 'Product Category': 'Clothing', 'Price': 75}, {'Purchase Date': '2022-05-12', 'Product Category': 'Home & Garden', 'Price': 200}]","[{'Timestamp': '2022-08-12T16:00:00Z'}, {'Timestamp': '2022-07-27T08:30:00Z'}, {'Timestamp': '2022-06-03T11:00:00Z'}]",,350.0,0.0,No Review,-0.296,Negative
1003,29,Other,City F,42000,"[{'Purchase Date': '2022-07-01', 'Product Category': 'Electronics', 'Price': 180}, {'Purchase Date': '2022-06-18', 'Product Category': 'Clothing', 'Price': 50}, {'Purchase Date': '2022-05-09', 'Product Category': 'Home & Garden', 'Price': 30}]","[{'Timestamp': '2022-08-13T13:45:00Z'}, {'Timestamp': '2022-07-26T07:00:00Z'}, {'Timestamp': '2022-06-02T15:30:00Z'}]",,200.0,0.0,No Review,-0.296,Negative
